cityID,cityName,totalIncidents,incidentDates
SY140000,Quneitra,122,2014-05-12T05:07:46+00:00||2014-05-12T05:00:56+00:00||2014-05-11T21:32:28+00:00||2014-05-11T20:06:20+00:00||2014-05-11T18:56:04+00:00||2014-05-11T18:40:10+00:00||2014-05-11T17:37:49+00:00||2014-05-11T15:43:59+00:00||2014-05-11T14:49:12+00:00||2014-05-11T14:18:05+00:00||2014-05-11T12:39:26+00:00||2014-05-11T12:21:26+00:00||2014-05-11T12:18:34+00:00||2014-05-11T12:14:07+00:00||2014-05-11T11:32:27+00:00||2014-05-11T11:20:14+00:00||2014-05-11T09:25:09+00:00||2014-05-11T09:08:35+00:00||2014-05-11T08:29:05+00:00||2014-05-11T07:37:08+00:00||2014-05-11T07:19:58+00:00||2014-05-11T07:13:48+00:00||2014-05-11T06:32:28+00:00||2014-05-11T06:28:33+00:00||2014-05-11T06:12:55+00:00||2014-05-11T05:56:19+00:00||2014-05-11T04:00:00+00:00||2014-05-11T03:40:44+00:00||2014-05-11T03:06:21+00:00||2014-05-11T02:57:20+00:00||2014-05-11T00:07:49+00:00||2014-05-11T00:00:00||2014-05-11T00:00:00||2014-05-10T23:43:12+00:00||2014-05-10T22:09:12+00:00||2014-05-10T21:49:44+00:00||2014-05-10T21:42:24+00:00||2014-05-10T21:05:40+00:00||2014-05-10T21:00:31+00:00||2014-05-10T19:56:48+00:00||2014-05-10T19:37:43+00:00||2014-05-10T19:21:38+00:00||2014-05-10T17:20:01+00:00||2014-05-10T16:57:51+00:00||2014-05-10T14:08:20+00:00||2014-05-10T12:01:55+00:00||2014-05-10T11:10:42+00:00||2014-05-10T07:51:05+00:00||2014-05-10T03:20:00+00:00||2014-05-10T03:10:00+00:00||2014-05-10T03:00:00+00:00||2014-05-10T02:50:01+00:00||2014-05-10T02:19:50+00:00||2014-05-10T02:02:36+00:00||2014-05-10T00:59:29+00:00||2014-05-09T23:34:11+00:00||2014-05-09T23:25:28+00:00||2014-05-09T23:24:53+00:00||2014-05-09T22:45:45+00:00||2014-05-09T21:38:06+00:00||2014-05-09T21:25:47+00:00||2014-05-09T20:56:47+00:00||2014-05-09T15:37:41+00:00||2014-05-09T15:37:09+00:00||2014-05-09T15:35:11+00:00||2014-05-09T14:58:28+00:00||2014-05-09T13:41:51+00:00||2014-05-09T13:40:25+00:00||2014-05-09T13:35:54+00:00||2014-05-09T13:34:07+00:00||2014-05-09T12:56:19+00:00||2014-05-09T12:23:58+00:00||2014-05-09T12:06:04+00:00||2014-05-09T11:45:47+00:00||2014-05-09T11:40:07+00:00||2014-05-09T11:17:06+00:00||2014-05-09T11:02:15+00:00||2014-05-09T10:58:51+00:00||2014-05-09T10:19:41+00:00||2014-05-09T08:41:14+00:00||2014-05-09T08:38:05+00:00||2014-05-09T08:17:31+00:00||2014-05-09T07:26:18+00:00||2014-05-09T07:23:25+00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-08T20:22:05+00:00||2014-05-08T17:18:02+00:00||2014-05-08T08:03:44+00:00||2014-05-08T07:58:59+00:00||2014-05-08T07:21:37+00:00||2014-05-08T05:14:11+00:00||2014-05-08T00:00:00||2014-05-08T00:00:00||2014-05-06T18:51:26+00:00||2014-05-06T07:40:00+00:00||2014-05-03T14:04:59+00:00||2014-05-01T10:17:01+00:00||2014-04-30T14:07:56+00:00||2014-04-29T17:49:46+00:00||2014-04-27T05:41:42+00:00||2014-04-25T23:25:18+00:00||2014-04-25T11:00:21+00:00||2014-04-24T12:53:55+00:00||2014-04-24T11:46:15+00:00||2014-04-23T21:37:06+00:00||2014-04-15T13:35:00||2014-04-13T18:01:09+00:00||2014-04-10T21:06:36+00:00||2014-04-10T07:50:11+00:00||2014-04-10T07:31:37+00:00||2014-04-09T21:29:43+00:00||2014-04-08T13:53:50+00:00||2014-04-08T07:26:09+00:00||2014-04-07T14:59:34+00:00||2014-04-05T16:16:41+00:00
SY040110,Qabu,0,
SY040108,Hasyaa,0,
SY040304,Hawash,10,2014-05-11T10:05:36+00:00||2014-05-11T08:29:43+00:00||2014-05-09T21:02:09+00:00||2014-05-09T17:03:32+00:00||2014-05-09T16:59:35+00:00||2014-05-09T15:18:47+00:00||2014-05-09T13:53:03+00:00||2014-05-09T11:02:15+00:00||2014-05-09T10:40:11+00:00||2014-05-09T10:19:41+00:00
SY120300,Izra',0,
SY120302,Hrak,0,
SY120304,Sheikh Miskine,0,
SY120305,Tassil,0,
SY120200,As-Sanamayn,0,
SY120301,Jasim,5,2014-05-09T00:00:00||2014-05-08T19:42:54+00:00||2014-05-08T09:02:22+00:00||2014-05-08T07:57:16+00:00||2014-05-05T20:53:12+00:00
SY120201,Masmiyyeh,0,
SY120000,Dar'a,0,
SY120002,Kherbet Ghazala,0,
SY120003,Ash-Shajara,0,
SY120001,Busra Esh-Sham,0,
SY120004,Da'el,0,
SY120005,Mzeireb,0,
SY120006,Jizeh,0,
SY120202,Ghabagheb,4,2014-05-11T23:36:10+00:00||2014-05-10T20:28:11+00:00||2014-05-10T17:44:23+00:00||2014-05-10T00:00:00
SY120007,Mseifra,0,
SY090201,Hajin,0,
SY090203,Susat,0,
SY060000,Lattakia,96,2014-05-12T06:17:29+00:00||2014-05-12T05:37:13+00:00||2014-05-12T04:47:24+00:00||2014-05-12T03:54:10+00:00||2014-05-12T00:16:53+00:00||2014-05-11T22:26:49+00:00||2014-05-11T22:25:00+00:00||2014-05-11T22:22:29+00:00||2014-05-11T22:07:58+00:00||2014-05-11T21:18:42+00:00||2014-05-11T20:57:11+00:00||2014-05-11T20:14:37+00:00||2014-05-11T20:03:30+00:00||2014-05-11T19:58:51+00:00||2014-05-11T18:56:44+00:00||2014-05-11T18:14:50+00:00||2014-05-11T18:14:15+00:00||2014-05-11T17:52:09+00:00||2014-05-11T17:17:15+00:00||2014-05-11T15:40:01+00:00||2014-05-11T15:34:46+00:00||2014-05-11T14:52:34+00:00||2014-05-11T14:49:12+00:00||2014-05-11T13:37:59+00:00||2014-05-11T10:10:07+00:00||2014-05-11T09:35:33+00:00||2014-05-11T09:15:15+00:00||2014-05-11T09:13:52+00:00||2014-05-11T08:25:20+00:00||2014-05-11T00:00:00||2014-05-10T22:31:26+00:00||2014-05-10T20:00:13+00:00||2014-05-10T18:00:01+00:00||2014-05-10T16:52:15+00:00||2014-05-10T16:34:09+00:00||2014-05-10T15:24:37+00:00||2014-05-10T14:19:13+00:00||2014-05-10T13:29:17+00:00||2014-05-10T12:45:54+00:00||2014-05-10T10:54:14+00:00||2014-05-10T10:23:12+00:00||2014-05-10T09:32:21+00:00||2014-05-10T09:25:12+00:00||2014-05-10T09:21:26+00:00||2014-05-10T07:23:01+00:00||2014-05-10T01:00:00+00:00||2014-05-09T23:00:00+00:00||2014-05-09T21:24:01+00:00||2014-05-09T18:26:50+00:00||2014-05-09T18:09:11+00:00||2014-05-09T17:43:19+00:00||2014-05-09T17:26:59+00:00||2014-05-09T13:52:14+00:00||2014-05-09T13:02:09+00:00||2014-05-09T10:48:21+00:00||2014-05-09T10:31:07+00:00||2014-05-08T23:19:38+00:00||2014-05-08T22:35:38+00:00||2014-05-08T12:22:51+00:00||2014-05-08T12:00:00+00:00||2014-05-08T09:11:48+00:00||2014-05-07T22:50:12+00:00||2014-05-07T22:32:03+00:00||2014-05-07T21:23:27+00:00||2014-05-07T14:59:42+00:00||2014-05-07T14:59:15+00:00||2014-05-07T13:42:06+00:00||2014-05-07T11:08:29+00:00||2014-05-07T08:34:30+00:00||2014-05-07T07:43:35+00:00||2014-05-06T18:53:59+00:00||2014-05-05T20:53:12+00:00||2014-05-05T17:31:41+00:00||2014-05-04T04:17:58+00:00||2014-05-02T17:17:00||2014-05-02T02:41:48+00:00||2014-05-01T06:14:04+00:00||2014-04-27T13:55:02+00:00||2014-04-24T09:14:00||2014-04-24T07:20:00+00:00||2014-04-22T08:44:00||2014-04-21T20:26:37+00:00||2014-04-21T15:05:40+00:00||2014-04-19T18:44:06+00:00||2014-04-19T16:23:29+00:00||2014-04-19T09:04:00||2014-04-15T12:23:00||2014-04-14T14:31:00||2014-04-14T08:57:00||2014-04-13T21:41:04+00:00||2014-04-06T07:46:01+00:00||2014-04-05T16:10:08+00:00||2014-04-05T16:09:11+00:00||2014-04-05T16:07:39+00:00||2014-04-02T15:40:41+00:00||2014-04-01T12:38:21+00:00
SY090200,Abu Kamal,0,
SY090300,Al Mayadin,0,
SY090301,Thiban,0,
SY090100,Deir-ez-Zor,0,
SY090101,Kisreh,0,
SY090102,Basira,0,
SY090202,Jalaa,2,2014-05-12T01:53:45+00:00||2014-04-17T18:33:59+00:00
SY090103,Muhasan,0,
SY090104,Tabni,0,
SY090105,Khasham,0,
SY090302,Ashara,5,2014-05-09T20:11:17+00:00||2014-05-09T18:09:05+00:00||2014-05-09T17:54:33+00:00||2014-05-09T00:00:00||2014-05-09T00:00:00
SY030400,At Tall,0,
SY030700,Az-Zabdani,0,
SY030401,Sidnaya,2,2014-05-06T16:58:54+00:00||2014-04-19T20:39:07+00:00
SY120303,Nawa,17,2014-05-12T04:58:17+00:00||2014-05-11T16:39:09+00:00||2014-05-11T08:49:34+00:00||2014-05-10T00:59:29+00:00||2014-05-09T22:31:06+00:00||2014-05-09T21:25:47+00:00||2014-05-09T00:00:00||2014-05-08T23:19:33+00:00||2014-05-08T14:50:41+00:00||2014-05-04T21:23:36+00:00||2014-05-04T17:49:07+00:00||2014-05-02T20:40:18+00:00||2014-04-30T17:34:59+00:00||2014-04-27T18:09:33+00:00||2014-04-27T00:00:00||2014-04-26T20:20:45+00:00||2014-04-26T09:03:00
